,attribute_id,attribute_name,attribute_question,group_id,active,attribute_tooltip
59,707,Toimistoaputila,"{""fi"":""Onko rakennuksessa toimistoaputila?"", ""sv"":""[Svenska]Onko rakennuksessa toimistoaputila?"", ""en"":""[English]Onko rakennuksessa toimistoaputila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
60,708,Valvomo,"{""fi"":""Onko rakennuksessa valvomo?"", ""sv"":""[Svenska]Onko rakennuksessa valvomo?"", ""en"":""[English]Onko rakennuksessa valvomo?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
61,709,Postinjakelu,"{""fi"":""Onko rakennuksessa postinjakelu?"", ""sv"":""[Svenska]Onko rakennuksessa postinjakelu?"", ""en"":""[English]Onko rakennuksessa postinjakelu?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
62,710,Arkistotila,"{""fi"":""Onko rakennuksessa arkistotila?"", ""sv"":""[Svenska]Onko rakennuksessa arkistotila?"", ""en"":""[English]Onko rakennuksessa arkistotila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
63,711,Palveltila,"{""fi"":""Onko rakennuksessa palveltila?"", ""sv"":""[Svenska]Onko rakennuksessa palveltila?"", ""en"":""[English]Onko rakennuksessa palveltila?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
64,712,Postijakelu,"{""fi"":""Onko rakennuksessa postijakelu?"", ""sv"":""[Svenska]Onko rakennuksessa postijakelu?"", ""en"":""[English]Onko rakennuksessa postijakelu?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
65,8,Henkilöstö,"{""fi"":""Onko rakennuksessa henkilöstö?"", ""sv"":""[Svenska]Onko rakennuksessa henkilöstö?"", ""en"":""[English]Onko rakennuksessa henkilöstö?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
66,801,Taukotila,"{""fi"":""Onko rakennuksessa taukotila?"", ""sv"":""[Svenska]Onko rakennuksessa taukotila?"", ""en"":""[English]Onko rakennuksessa taukotila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
67,802,Säilytyslokerot,"{""fi"":""Onko rakennuksessa säilytyslokerot?"", ""sv"":""[Svenska]Onko rakennuksessa säilytyslokerot?"", ""en"":""[English]Onko rakennuksessa säilytyslokerot?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
68,803,Kiinteistötoiminta,"{""fi"":""Onko rakennuksessa kiinteistötoiminta?"", ""sv"":""[Svenska]Onko rakennuksessa kiinteistötoiminta?"", ""en"":""[English]Onko rakennuksessa kiinteistötoiminta?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
69,9,Laitospalvelu,"{""fi"":""Onko rakennuksessa laitospalvelu?"", ""sv"":""[Svenska]Onko rakennuksessa laitospalvelu?"", ""en"":""[English]Onko rakennuksessa laitospalvelu?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
70,901,Huoltohuone,"{""fi"":""Onko rakennuksessa huoltohuone?"", ""sv"":""[Svenska]Onko rakennuksessa huoltohuone?"", ""en"":""[English]Onko rakennuksessa huoltohuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
71,902,Jakelukeittiö,"{""fi"":""Onko rakennuksessa jakelukeittiö?"", ""sv"":""[Svenska]Onko rakennuksessa jakelukeittiö?"", ""en"":""[English]Onko rakennuksessa jakelukeittiö?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
72,903,Lääkehuone,"{""fi"":""Onko rakennuksessa lääkehuone?"", ""sv"":""[Svenska]Onko rakennuksessa lääkehuone?"", ""en"":""[English]Onko rakennuksessa lääkehuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
73,904,Tavaran vastaanotto,"{""fi"":""Onko rakennuksessa tavaran vastaanotto?"", ""sv"":""[Svenska]Onko rakennuksessa tavaran vastaanotto?"", ""en"":""[English]Onko rakennuksessa tavaran vastaanotto?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
74,905,Varastosyvennys,"{""fi"":""Onko rakennuksessa varastosyvennys?"", ""sv"":""[Svenska]Onko rakennuksessa varastosyvennys?"", ""en"":""[English]Onko rakennuksessa varastosyvennys?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
75,906,Pesula,"{""fi"":""Onko rakennuksessa pesula?"", ""sv"":""[Svenska]Onko rakennuksessa pesula?"", ""en"":""[English]Onko rakennuksessa pesula?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
76,10,Asunto,"{""fi"":""Onko rakennuksessa asunto?"", ""sv"":""[Svenska]Onko rakennuksessa asunto?"", ""en"":""[English]Onko rakennuksessa asunto?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
77,1001,Tupa,"{""fi"":""Onko rakennuksessa tupa?"", ""sv"":""[Svenska]Onko rakennuksessa tupa?"", ""en"":""[English]Onko rakennuksessa tupa?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
78,11,Varastointi,"{""fi"":""Onko rakennuksessa varastointi?"", ""sv"":""[Svenska]Onko rakennuksessa varastointi?"", ""en"":""[English]Onko rakennuksessa varastointi?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
79,1101,"Varastohuone, lämmittämätön","{""fi"":""Onko rakennuksessa varastohuone, lämmittämätön?"", ""sv"":""[Svenska]Onko rakennuksessa varastohuone, lämmittämätön?"", ""en"":""[English]Onko rakennuksessa varastohuone, lämmittämätön?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
80,1102,Kylmävarasto,"{""fi"":""Onko rakennuksessa kylmävarasto?"", ""sv"":""[Svenska]Onko rakennuksessa kylmävarasto?"", ""en"":""[English]Onko rakennuksessa kylmävarasto?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
81,1103,Pakastevarasto,"{""fi"":""Onko rakennuksessa pakastevarasto?"", ""sv"":""[Svenska]Onko rakennuksessa pakastevarasto?"", ""en"":""[English]Onko rakennuksessa pakastevarasto?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
82,1104,Ulkovarasto,"{""fi"":""Onko rakennuksessa ulkovarasto?"", ""sv"":""[Svenska]Onko rakennuksessa ulkovarasto?"", ""en"":""[English]Onko rakennuksessa ulkovarasto?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
83,12,Saunominen,"{""fi"":""Onko rakennuksessa saunominen?"", ""sv"":""[Svenska]Onko rakennuksessa saunominen?"", ""en"":""[English]Onko rakennuksessa saunominen?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
84,13,Kauppa,"{""fi"":""Onko rakennuksessa kauppa?"", ""sv"":""[Svenska]Onko rakennuksessa kauppa?"", ""en"":""[English]Onko rakennuksessa kauppa?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
85,1301,Kassa-alue,"{""fi"":""Onko rakennuksessa kassa-alue?"", ""sv"":""[Svenska]Onko rakennuksessa kassa-alue?"", ""en"":""[English]Onko rakennuksessa kassa-alue?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
86,1302,Laitetila,"{""fi"":""Onko rakennuksessa laitetila?"", ""sv"":""[Svenska]Onko rakennuksessa laitetila?"", ""en"":""[English]Onko rakennuksessa laitetila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
87,1303,Myyntialue,"{""fi"":""Onko rakennuksessa myyntialue?"", ""sv"":""[Svenska]Onko rakennuksessa myyntialue?"", ""en"":""[English]Onko rakennuksessa myyntialue?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
88,1304,Varastotila,"{""fi"":""Onko rakennuksessa varastotila?"", ""sv"":""[Svenska]Onko rakennuksessa varastotila?"", ""en"":""[English]Onko rakennuksessa varastotila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
89,1305,Palvelupiste,"{""fi"":""Onko rakennuksessa palvelupiste?"", ""sv"":""[Svenska]Onko rakennuksessa palvelupiste?"", ""en"":""[English]Onko rakennuksessa palvelupiste?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
90,1306,Sovitustila,"{""fi"":""Onko rakennuksessa sovitustila?"", ""sv"":""[Svenska]Onko rakennuksessa sovitustila?"", ""en"":""[English]Onko rakennuksessa sovitustila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
91,1307,Varastohalli,"{""fi"":""Onko rakennuksessa varastohalli?"", ""sv"":""[Svenska]Onko rakennuksessa varastohalli?"", ""en"":""[English]Onko rakennuksessa varastohalli?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
92,1308,Liiketila,"{""fi"":""Onko rakennuksessa liiketila?"", ""sv"":""[Svenska]Onko rakennuksessa liiketila?"", ""en"":""[English]Onko rakennuksessa liiketila?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
93,14,Muu toiminta,"{""fi"":""Onko rakennuksessa muu toiminta?"", ""sv"":""[Svenska]Onko rakennuksessa muu toiminta?"", ""en"":""[English]Onko rakennuksessa muu toiminta?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
94,1401,Valmistuskeittiö,"{""fi"":""Onko rakennuksessa valmistuskeittiö?"", ""sv"":""[Svenska]Onko rakennuksessa valmistuskeittiö?"", ""en"":""[English]Onko rakennuksessa valmistuskeittiö?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
95,1402,ATK-opetustila,"{""fi"":""Onko rakennuksessa atk-opetustila?"", ""sv"":""[Svenska]Onko rakennuksessa atk-opetustila?"", ""en"":""[English]Onko rakennuksessa atk-opetustila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
96,1403,Kappelisali,"{""fi"":""Onko rakennuksessa kappelisali?"", ""sv"":""[Svenska]Onko rakennuksessa kappelisali?"", ""en"":""[English]Onko rakennuksessa kappelisali?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
97,1404,Metallityötila,"{""fi"":""Onko rakennuksessa metallityötila?"", ""sv"":""[Svenska]Onko rakennuksessa metallityötila?"", ""en"":""[English]Onko rakennuksessa metallityötila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
98,1405,Opetuskeittiö,"{""fi"":""Onko rakennuksessa opetuskeittiö?"", ""sv"":""[Svenska]Onko rakennuksessa opetuskeittiö?"", ""en"":""[English]Onko rakennuksessa opetuskeittiö?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
99,1406,Puutyökonesali,"{""fi"":""Onko rakennuksessa puutyökonesali?"", ""sv"":""[Svenska]Onko rakennuksessa puutyökonesali?"", ""en"":""[English]Onko rakennuksessa puutyökonesali?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
100,1407,Sähkötyötila,"{""fi"":""Onko rakennuksessa sähkötyötila?"", ""sv"":""[Svenska]Onko rakennuksessa sähkötyötila?"", ""en"":""[English]Onko rakennuksessa sähkötyötila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
101,1408,Tapaamistila,"{""fi"":""Onko rakennuksessa tapaamistila?"", ""sv"":""[Svenska]Onko rakennuksessa tapaamistila?"", ""en"":""[English]Onko rakennuksessa tapaamistila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
102,1409,Tekstiilityötila,"{""fi"":""Onko rakennuksessa tekstiilityötila?"", ""sv"":""[Svenska]Onko rakennuksessa tekstiilityötila?"", ""en"":""[English]Onko rakennuksessa tekstiilityötila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
103,15,Ravinto,"{""fi"":""Onko rakennuksessa ravinto?"", ""sv"":""[Svenska]Onko rakennuksessa ravinto?"", ""en"":""[English]Onko rakennuksessa ravinto?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
