attribute_id,attribute_name,attribute_question,group_id,active
1404,Metallityötila,"{'fi':'Onko rakennuksessa metallityötila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1405,Opetuskeittiö,"{'fi':'Onko rakennuksessa opetuskeittiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1406,Puutyökonesali,"{'fi':'Onko rakennuksessa puutyökonesali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1407,Sähkötyötila,"{'fi':'Onko rakennuksessa sähkötyötila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1408,Tapaamistila,"{'fi':'Onko rakennuksessa tapaamistila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1409,Tekstiilityötila,"{'fi':'Onko rakennuksessa tekstiilityötila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
15,Ravinto,"{'fi':'Onko rakennuksessa ravinto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1501,Baari,"{'fi':'Onko rakennuksessa baari?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1502,Jätekylmiö,"{'fi':'Onko rakennuksessa jätekylmiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1503,Ravintolasali,"{'fi':'Onko rakennuksessa ravintolasali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1504,Vaatetila,"{'fi':'Onko rakennuksessa vaatetila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1505,Kahvilasali,"{'fi':'Onko rakennuksessa kahvilasali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1506,Astiapalautus,"{'fi':'Onko rakennuksessa astiapalautus?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1507,Kuumennuskeittiö,"{'fi':'Onko rakennuksessa kuumennuskeittiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'Kuumennuskeittiö on huonetila, jossa esikypsennettyjä tai valmiita ruokia valmistetaan kuumentamalla uunissa, vesihauteessa tai keittämällä','sv':'','en':''}"
1508,Ruokasali,"{'fi':'Onko rakennuksessa ruokasali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1509,Ruuanjakelu,"{'fi':'Onko rakennuksessa ruuanjakelu?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1510,Astianpalautus,"{'fi':'Onko rakennuksessa astianpalautus?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
16,Majoitus,"{'fi':'Onko rakennuksessa majoitus?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1601,Majoitushuone,"{'fi':'Onko rakennuksessa majoitushuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
17,Asiakaspalvelu,"{'fi':'Onko rakennuksessa asiakaspalvelu?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1701,Sulkutila,"{'fi':'Onko rakennuksessa sulkutila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1702,Hoitohuone,"{'fi':'Onko rakennuksessa hoitohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1703,Itsepalvelupiste,"{'fi':'Onko rakennuksessa itsepalvelupiste?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1704,Palvelutila,"{'fi':'Onko rakennuksessa palvelutila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1705,Katos,"{'fi':'Onko rakennuksessa katos?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
18,Kokoontuminen,"{'fi':'Onko rakennuksessa kokoontuminen?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1801,Kokoushuone,"{'fi':'Onko rakennuksessa kokoushuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1802,Lämpiö,"{'fi':'Onko rakennuksessa lämpiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1803,Monitoimitila,"{'fi':'Onko rakennuksessa monitoimitila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1804,Odotustila,"{'fi':'Onko rakennuksessa odotustila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1805,Kokoussali,"{'fi':'Onko rakennuksessa kokoussali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1806,Elokuvasali,"{'fi':'Onko rakennuksessa elokuvasali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1807,Kahvikeittiö,"{'fi':'Onko rakennuksessa kahvikeittiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1808,Sali,"{'fi':'Onko rakennuksessa sali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1809,Kirkkosali,"{'fi':'Onko rakennuksessa kirkkosali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1810,Sakaristo,"{'fi':'Onko rakennuksessa sakaristo?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1811,Lähivarasto,"{'fi':'Onko rakennuksessa lähivarasto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
19,Virkistys,"{'fi':'Onko rakennuksessa virkistys?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
1901,Kuntosali,"{'fi':'Onko rakennuksessa kuntosali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
20,Liikenne,"{'fi':'Onko rakennuksessa liikenne?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2001,Kalustohalli,"{'fi':'Onko rakennuksessa kalustohalli?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2002,Lastaustila,"{'fi':'Onko rakennuksessa lastaustila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2003,Materiaalin käsittely,"{'fi':'Onko rakennuksessa materiaalin käsittely?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2004,Palvelukeittiö,"{'fi':'Onko rakennuksessa palvelukeittiö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2005,Tarkastusalue,"{'fi':'Onko rakennuksessa tarkastusalue?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2006,Tarkastuspiste,"{'fi':'Onko rakennuksessa tarkastuspiste?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2007,Tarkastustila,"{'fi':'Onko rakennuksessa tarkastustila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2008,Eläintila,"{'fi':'Onko rakennuksessa eläintila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2009,Tupakointitila,"{'fi':'Onko rakennuksessa tupakointitila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
21,Auto- ja kalustosäilytys,"{'fi':'Onko rakennuksessa auto- ja kalustosäilytys?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2101,Ajoramppi,"{'fi':'Onko rakennuksessa ajoramppi?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2102,Ajoväylä,"{'fi':'Onko rakennuksessa ajoväylä?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2103,Pysäköintihalli,"{'fi':'Onko rakennuksessa pysäköintihalli?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2104,Autokatos,"{'fi':'Onko rakennuksessa autokatos?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
22,Auto- ja kalustohuolto,"{'fi':'Onko rakennuksessa auto- ja kalustohuolto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2201,Huoltohalli,"{'fi':'Onko rakennuksessa huoltohalli?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2202,Työnjohtotila,"{'fi':'Onko rakennuksessa työnjohtotila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2203,Verstas,"{'fi':'Onko rakennuksessa verstas?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2204,Huoltohallli,"{'fi':'Onko rakennuksessa huoltohallli?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
23,Tuotanto,"{'fi':'Onko rakennuksessa tuotanto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2301,Palvelinsali,"{'fi':'Onko rakennuksessa palvelinsali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2302,Sulkutilat,"{'fi':'Onko rakennuksessa sulkutilat?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2303,Tuotantotila,"{'fi':'Onko rakennuksessa tuotantotila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2304,Allastila,"{'fi':'Onko rakennuksessa allastila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2305,Prosessihalli,"{'fi':'Onko rakennuksessa prosessihalli?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
24,Terveys,"{'fi':'Onko rakennuksessa terveys?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2401,Itsehoitopiste,"{'fi':'Onko rakennuksessa itsehoitopiste?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2402,Lepohuone,"{'fi':'Onko rakennuksessa lepohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2403,Toimenpidehuone,"{'fi':'Onko rakennuksessa toimenpidehuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2404,Toimistotyöpiste,"{'fi':'Onko rakennuksessa toimistotyöpiste?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2405,Vastaanottohuone,"{'fi':'Onko rakennuksessa vastaanottohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
25,Sairaanhoito,"{'fi':'Onko rakennuksessa sairaanhoito?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2501,Heräämö,"{'fi':'Onko rakennuksessa heräämö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2502,Lastenhoitohuone,"{'fi':'Onko rakennuksessa lastenhoitohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2503,Leikkaussali,"{'fi':'Onko rakennuksessa leikkaussali?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
2504,Liikuntatila,"{'fi':'Onko rakennuksessa liikuntatila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
